year,round,gp_name,circuit,position,driver,constructor,q1,q2,q3
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,7,LEC,Ferrari,1:18.218,1:17.390,1:17.369
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,8,ALB,Williams,1:17.962,1:17.761,1:17.609
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,9,GAS,Alpine F1 Team,1:18.312,1:17.574,1:17.675
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,10,HUL,Haas F1 Team,1:18.029,1:17.412,1:17.735
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,11,OCO,Alpine F1 Team,1:17.770,1:17.768,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,12,TSU,AlphaTauri,1:18.471,1:18.099,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,13,NOR,McLaren,1:18.243,1:18.119,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,14,MAG,Haas F1 Team,1:18.159,1:18.129,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,15,DEV,AlphaTauri,1:18.450,1:18.335,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,16,PIA,McLaren,1:18.517,,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,17,ZHO,Alfa Romeo,1:18.540,,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,18,SAR,Williams,1:18.557,,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,19,BOT,Alfa Romeo,1:18.714,,
2023,3,Australian Grand Prix,Albert Park Grand Prix Circuit,20,PER,Red Bull,,,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,1,LEC,Ferrari,1:41.269,1:41.037,1:40.203
2023,4,Azerbaijan Grand Prix,Baku City Circuit,2,VER,Red Bull,1:41.398,1:40.822,1:40.391
2023,4,Azerbaijan Grand Prix,Baku City Circuit,3,PER,Red Bull,1:41.756,1:41.131,1:40.495
2023,4,Azerbaijan Grand Prix,Baku City Circuit,4,SAI,Ferrari,1:42.197,1:41.369,1:41.016
2023,4,Azerbaijan Grand Prix,Baku City Circuit,5,HAM,Mercedes,1:42.113,1:41.650,1:41.177
2023,4,Azerbaijan Grand Prix,Baku City Circuit,6,ALO,Aston Martin,1:41.720,1:41.370,1:41.253
2023,4,Azerbaijan Grand Prix,Baku City Circuit,7,NOR,McLaren,1:42.154,1:41.485,1:41.281
2023,4,Azerbaijan Grand Prix,Baku City Circuit,8,TSU,AlphaTauri,1:42.234,1:41.569,1:41.581
2023,4,Azerbaijan Grand Prix,Baku City Circuit,9,STR,Aston Martin,1:42.524,1:41.576,1:41.611
2023,4,Azerbaijan Grand Prix,Baku City Circuit,10,PIA,McLaren,1:42.455,1:41.636,1:41.611
2023,4,Azerbaijan Grand Prix,Baku City Circuit,11,RUS,Mercedes,1:42.073,1:41.654,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,12,OCO,Alpine F1 Team,1:42.622,1:41.798,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,13,ALB,Williams,1:42.171,1:41.818,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,14,BOT,Alfa Romeo,1:42.582,1:42.259,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,15,SAR,Williams,1:42.242,1:42.395,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,16,ZHO,Alfa Romeo,1:42.642,,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,17,HUL,Haas F1 Team,1:42.755,,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,18,MAG,Haas F1 Team,1:43.417,,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,19,GAS,Alpine F1 Team,1:44.853,,
2023,4,Azerbaijan Grand Prix,Baku City Circuit,20,DEV,AlphaTauri,1:55.282,,
2023,5,Miami Grand Prix,Miami International Autodrome,1,PER,Red Bull,1:27.713,1:27.328,1:26.841
2023,5,Miami Grand Prix,Miami International Autodrome,2,ALO,Aston Martin,1:28.179,1:27.097,1:27.202
2023,5,Miami Grand Prix,Miami International Autodrome,3,SAI,Ferrari,1:27.686,1:27.148,1:27.349
2023,5,Miami Grand Prix,Miami International Autodrome,4,MAG,Haas F1 Team,1:27.809,1:27.673,1:27.767
2023,5,Miami Grand Prix,Miami International Autodrome,5,GAS,Alpine F1 Team,1:28.061,1:27.612,1:27.786
2023,5,Miami Grand Prix,Miami International Autodrome,6,RUS,Mercedes,1:28.086,1:27.743,1:27.804
2023,5,Miami Grand Prix,Miami International Autodrome,7,LEC,Ferrari,1:27.713,1:26.964,1:27.861
2023,5,Miami Grand Prix,Miami International Autodrome,8,OCO,Alpine F1 Team,1:27.872,1:27.444,1:27.935
2023,5,Miami Grand Prix,Miami International Autodrome,9,VER,Red Bull,1:27.363,1:26.814,
2023,5,Miami Grand Prix,Miami International Autodrome,10,BOT,Alfa Romeo,1:27.864,1:27.564,
2023,5,Miami Grand Prix,Miami International Autodrome,11,ALB,Williams,1:28.234,1:27.795,
2023,5,Miami Grand Prix,Miami International Autodrome,12,HUL,Haas F1 Team,1:27.945,1:27.903,
2023,5,Miami Grand Prix,Miami International Autodrome,13,HAM,Mercedes,1:27.846,1:27.975,
2023,5,Miami Grand Prix,Miami International Autodrome,14,ZHO,Alfa Romeo,1:28.180,1:28.091,
2023,5,Miami Grand Prix,Miami International Autodrome,15,DEV,AlphaTauri,1:28.325,1:28.395,
2023,5,Miami Grand Prix,Miami International Autodrome,16,NOR,McLaren,1:28.394,,
2023,5,Miami Grand Prix,Miami International Autodrome,17,TSU,AlphaTauri,1:28.429,,
2023,5,Miami Grand Prix,Miami International Autodrome,18,STR,Aston Martin,1:28.476,,
2023,5,Miami Grand Prix,Miami International Autodrome,19,PIA,McLaren,1:28.484,,
2023,5,Miami Grand Prix,Miami International Autodrome,20,SAR,Williams,1:28.577,,
